"Path","Method","OperationId","Summary","Coverage","Positive Tests","Negative Tests","Inconclusive Tests","Total Tests","Defined Error Responses","Error Assertions","Requires Auth","Tags"
"/docs/enrollment","GET","get_docs_enrollment_removed","Removed enrollment docs endpoint","gap","0","0","0","0","1","0","No","Discovery"
"/","GET","get_root","Root API discovery endpoint with enrollment information","covered-negative","0","2","0","2","0","2","No","Discovery"
"/.well-known/data-retention","GET","get_well_known_data_retention","Data Retention Policy","covered-negative","0","2","0","2","0","2","No","Policies"
"/.well-known/did/resolve","GET","get_well_known_did_resolve","Resolve DID string","covered-negative","0","2","0","2","3","2","Yes","DID"
"/.well-known/did/rodit/{tokenId}","GET","get_well_known_did_rodit_by_tokenId","Resolve did:rodit DID document","covered-negative","0","1","0","1","3","1","Yes","DID"
"/.well-known/did/web/token/{tokenId}","GET","get_well_known_did_web_token_by_tokenId","Resolve did:web DID document","covered-negative","0","1","0","1","3","1","Yes","DID"
"/.well-known/did/web/token/{tokenId}/did.json","GET","get_well_known_did_web_token_by_tokenId_did_json","Resolve did:web JSON DID document","covered-negative","0","1","0","1","3","1","Yes","DID"
"/.well-known/enrollment","GET","get_well_known_enrollment","Enrollment information and guidance","covered-negative","0","2","0","2","0","2","No","Discovery"
"/.well-known/mcp","GET","get_well_known_mcp","MCP discovery metadata","covered-negative","0","2","0","2","0","2","No","Discovery"
"/.well-known/privacy-policy","GET","get_well_known_privacy_policy","Privacy Policy","covered-negative","0","2","0","2","0","2","No","Policies"
"/.well-known/terms-of-service","GET","get_well_known_terms_of_service","Terms of Service","covered-negative","0","2","0","2","0","2","No","Policies"
"/.well-known/why-identyclaw","GET","get_well_known_why_identyclaw","Why IdentyClaw - Value Proposition","covered-negative","0","2","0","2","0","2","No","Policies"
"/api/agents","GET","get_api_agents","List RODiT token holders with facial descriptions","covered-negative","0","2","0","2","2","2","No","Agent"
"/api/holanonce16ts","GET","get_api_holanonce16ts","Get timestamp and nonce for HOLA handshake","covered-negative","0","41","0","41","2","41","Yes",""
"/api/identity/token/{tokenId}/full","GET","get_api_identity_token_by_tokenId_full","Get full identity with DN and facial encoding","covered-negative","0","4","0","4","2","4","Yes","Identity"
"/api/identity/verify","POST","post_api_identity_verify","Verify a peer's HOLA using Ed25519 and a Morse-compatible canonical message","covered-negative","0","24","0","24","2","24","Yes",""
"/api/isauthorizedsigner","POST","post_api_isauthorizedsigner","Verify if a public key is authorized to sign on behalf of an IdentyClaw Passport holder","covered-negative","0","4","0","4","4","4","Yes",""
"/api/login","POST","post_api_login","RODiT client login to obtain a JWT access token","covered-negative","0","2","0","2","5","2","No",""
"/api/login/timestamp","GET","get_api_login_timestamp","Get timestamp for AI agent login","covered-negative","0","4","0","4","2","4","No","Authentication"
"/api/logout","POST","post_api_logout","RODiT client logout to invalidate the current session","covered-negative","0","3","0","3","3","3","Yes",""
"/api/mcp/resource/{uri}","GET","get_api_mcp_resource_by_uri","Retrieve a specific MCP resource by URI","covered-negative","0","7","0","7","2","7","No",""
"/api/mcp/resources","GET","get_api_mcp_resources","List available MCP resources (including OpenAPI schema)","covered-negative","0","4","0","4","2","4","No",""
"/api/mcp/schema","GET","get_api_mcp_schema","Return the OpenAPI schema used by this server","covered-negative","0","2","0","2","0","2","No",""
"/api/me/identity","GET","get_api_me_identity","Get authenticated agent's own DN and facial description","covered-negative","0","26","0","26","3","26","Yes","Identity"
"/api/metrics","GET","get_api_metrics","Get current performance metrics for this IDClawserver instance (admin only)","covered-negative","0","12","0","12","2","12","Yes",""
"/api/metrics/debug","GET","get_api_metrics_debug","Debug endpoint for metrics subsystem (admin only)","covered-negative","0","2","0","2","2","2","Yes",""
"/api/metrics/reset","POST","post_api_metrics_reset","Reset performance metrics counters (admin only)","covered-negative","0","5","0","5","3","5","Yes",""
"/api/metrics/system","GET","get_api_metrics_system","Get system resource metrics (CPU, memory, etc.) (admin only)","covered-negative","0","6","0","6","2","6","Yes",""
"/api/sessions/cleanup","POST","post_api_sessions_cleanup","Cleanup expired sessions (admin)","covered-negative","0","5","0","5","2","5","Yes",""
"/api/sessions/list_all","GET","get_api_sessions_list_all","List all active sessions (admin)","covered-negative","0","2","0","2","2","2","Yes",""
"/api/sessions/revoke","POST","post_api_sessions_revoke","Revoke a specific session (admin)","covered-negative","0","3","0","3","4","3","Yes",""
"/api/signclient","POST","post_api_signclient","Request minting of a client RODiT via SignPortal","covered-negative","0","1","0","1","4","1","No",""
"/api/testhola","POST","post_api_testhola","Test HOLA message validation and respond with server HOLA","covered-negative","0","34","0","34","2","34","Yes","Testing"
"/api/v1/openapi.json","GET","get_api_v1_openapi_json","Legacy OpenAPI alias","covered-negative","0","2","0","2","0","2","No","Discovery"
"/health","GET","get_health","Health check","covered-negative","0","2","0","2","0","2","No",""
"/mcp","GET","get_mcp_streamable_transport","Streamable MCP transport endpoint","covered-negative","0","5","0","5","2","5","No","MCP"
"/mcp","POST","post_mcp_streamable_transport","Streamable MCP transport endpoint","covered-negative","0","1","0","1","2","1","No","MCP"
"/openapi.json","GET","get_openapi_json","Canonical OpenAPI specification","covered-negative","0","2","0","2","1","2","No","Discovery"
